estrategia,categoria,f1,precision,recall,support,f1_macro,f1_weighted
zero_shot,homophobia,0.4,0.3333,0.5,4,0.2673,0.705
zero_shot,insult,0.3103,0.4091,0.25,36,0.2673,0.705
zero_shot,misogyny,0.0,0.0,0.0,1,0.2673,0.705
zero_shot,not_toxic,0.7928,0.9019,0.7072,403,0.2673,0.705
zero_shot,obscene,0.3678,0.2689,0.5818,55,0.2673,0.705
zero_shot,racism,0.0,0.0,0.0,0,0.2673,0.705
zero_shot,xenophobia,0.0,0.0,0.0,1,0.2673,0.705
few_shot,homophobia,0.3636,0.2857,0.5,4,0.275,0.7712
few_shot,insult,0.2857,0.5385,0.1944,36,0.275,0.7712
few_shot,misogyny,0.0,0.0,0.0,1,0.275,0.7712
few_shot,not_toxic,0.8726,0.8872,0.8586,403,0.275,0.7712
few_shot,obscene,0.4032,0.3623,0.4545,55,0.275,0.7712
few_shot,racism,0.0,0.0,0.0,0,0.275,0.7712
few_shot,xenophobia,0.0,0.0,0.0,1,0.275,0.7712
